outer,inner,selector,k,features,best_model,best_params,best_calibration,brier_valid
1,1,unknown_selector,-1,"[""relative risk"", ""QRISK3"", ""ЭХО ЗС перед ТП"", ""ЭХО СДЛА перед ТП""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",none,0.10514648226345943
1,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз""]",logreg,"{""clf__C"": 0.1}",platt,0.10079640142310586
1,3,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.08267107033906121
1,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЭХО МЖП перед ТП""]",mlp,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",platt,0.15464233029183289
1,5,unknown_selector,-1,"[""relative risk"", ""ЭХО СДЛА перед ТП"", ""САД перед ТП"", ""ЭХО ЗС перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 50}",platt,0.14494136540439004
2,1,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП"", ""Пол""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.09872543897767794
2,2,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО СДЛА перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.10018614970856213
2,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Пол"", ""Диагноз"", ""ЭХО ЗС перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.07206502827780371
2,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО МЖП перед ТП"", ""ЭХО ЗС перед ТП"", ""Пол""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",none,0.1437588346753027
2,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО ЛП перед ТП"", ""Мочевая кислота перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.0809378097124339
3,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.11837116109699668
3,2,unknown_selector,-1,"[""ЛПНП перед ТП"", ""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЭХО ЗС перед ТП"", ""ЭХО МЖП перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.11182012006980158
3,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 4, ""clf__n_estimators"": 100}",platt,0.08707800674717187
3,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""ЛПНП перед ТП"", ""ЭХО МЖП перед ТП"", ""ОТТ перед ТП""]",logreg,"{""clf__C"": 0.1}",platt,0.1498949343717482
3,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Диагноз"", ""ЭХО ЛП перед ТП""]",logreg,"{""clf__C"": 0.1}",platt,0.1134649466509615
4,1,unknown_selector,-1,"[""relative risk"", ""Мочевая кислота перед ТП"", ""Пол"", ""ЭХО ЗС перед ТП"", ""ОТТ перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",none,0.07879317306037043
4,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП"", ""стадия ХСН перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.0991194848394292
4,3,unknown_selector,-1,"[""relative risk"", ""Пол"", ""Диагноз"", ""Мочевая кислота перед ТП"", ""ОТТ перед ТП"", ""ЭХО КДР перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.08626227802629474
4,4,unknown_selector,-1,"[""relative risk"", ""ОТТ перед ТП"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""Пол"", ""ЭХО МЖП перед ТП""]",mlp,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [32]}",platt,0.17235922762911282
4,5,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""ЛПНП перед ТП"", ""Диагноз"", ""Пол"", ""ДАД перед ТП""]",mlp,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [32]}",platt,0.09242128342981766
5,1,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""стадия ХСН перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.07299088792890708
5,2,unknown_selector,-1,"[""relative risk"", ""ЭХО ЗС перед ТП"", ""САД перед ТП"", ""Диагноз"", ""ЭХО МЖП перед ТП"", ""стадия ХСН перед ТП""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.08277090772950502
5,3,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""Мочевая кислота перед ТП"", ""Пол"", ""САД перед ТП"", ""стадия ХСН перед ТП"", ""ЭХО ЗС перед ТП""]",xgb,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.09793294396263329
5,4,unknown_selector,-1,"[""relative risk"", ""ЭХО ЛП перед ТП"", ""Диагноз"", ""САД перед ТП"", ""ЛПНП перед ТП"", ""Пол"", ""ЭХО МЖП перед ТП""]",logreg,"{""clf__C"": 0.1}",none,0.16612570288366535
5,5,unknown_selector,-1,"[""relative risk"", ""ЛПНП перед ТП"", ""ЭХО ЗС перед ТП"", ""Диагноз"", ""ЭХО СДЛА перед ТП""]",xgb,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",platt,0.11876507516632091
