meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,target_pos_ratio,threshold,n_splits,n_repeats,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both,phase
catboost,1:8,0.0,0,,0,350,6,0.05,0.35,0.16261592683302087,3,1,29,39,5,118,0.8529411764705882,0.7515923566878981,99.0,4.571428571428571,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.05,0.4,0.09725835312414319,3,1,29,39,5,118,0.8529411764705882,0.7515923566878981,99.0,4.571428571428571,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.35,0.1400181026941387,3,1,29,40,5,117,0.8529411764705882,0.7452229299363057,100.0,4.714285714285714,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,6,0.05,0.4,0.12351636832730191,3,1,29,40,5,117,0.8529411764705882,0.7452229299363057,100.0,4.714285714285714,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,6,0.05,0.4,0.10950404886913441,3,1,29,40,5,117,0.8529411764705882,0.7452229299363057,100.0,4.714285714285714,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.05,0.4,0.10046699191638044,3,1,29,40,5,117,0.8529411764705882,0.7452229299363057,100.0,4.714285714285714,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.03,0.4,0.23822771040188842,3,1,29,41,5,116,0.8529411764705882,0.7388535031847133,101.0,4.857142857142857,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.05,0.35,0.12382642123514223,3,1,29,41,5,116,0.8529411764705882,0.7388535031847133,101.0,4.857142857142857,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.05,0.35,0.11939158385310321,3,1,29,41,5,116,0.8529411764705882,0.7388535031847133,101.0,4.857142857142857,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.05,0.35,0.08976101689797039,3,1,29,42,5,115,0.8529411764705882,0.732484076433121,102.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.03,0.35,0.2326010372312395,3,1,28,35,6,122,0.8235294117647058,0.7770700636942676,107.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,6,0.03,0.35,0.304153485596121,3,1,28,36,6,121,0.8235294117647058,0.7707006369426752,108.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.03,0.35,0.2658054261196101,3,1,28,36,6,121,0.8235294117647058,0.7707006369426752,108.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.03,0.35,0.20792676687460576,3,1,28,36,6,121,0.8235294117647058,0.7707006369426752,108.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,6,0.03,0.35,0.26268105440928236,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.03,0.35,0.24565912167888393,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,6,0.05,0.35,0.19069814070643107,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,6,0.05,0.35,0.18620363239485155,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.05,0.35,0.17189364536840138,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.05,0.35,0.16714099555317127,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.05,0.4,0.15596773605640266,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.05,0.4,0.15290603099992597,3,1,28,37,6,120,0.8235294117647058,0.7643312101910829,109.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.05,0.4,0.3137682358247375,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.05,0.4,0.28630137865025396,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.05,0.4,0.2725068878621188,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.03,0.35,0.2382020630607857,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.03,0.35,0.22128421219237535,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,6,0.03,0.4,0.15277037264580257,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.05,0.3,0.15157572540236192,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,6,0.05,0.3,0.13459486973411638,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.05,0.3,0.12587160208213394,3,1,28,38,6,119,0.8235294117647058,0.7579617834394905,110.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.03,0.4,0.2807051771748336,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,6,0.03,0.4,0.26559053457719123,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,5,0.03,0.4,0.26202906203220333,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.05,0.4,0.24219149335371717,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.05,0.4,0.21190145803265883,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.4,0.19765613224909778,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.3,0.11437320520074473,3,1,28,39,6,118,0.8235294117647058,0.7515923566878981,111.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.03,0.4,0.3219845541447133,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.03,0.4,0.31798440308373005,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.03,0.4,0.2737843838598246,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.4,0.2665873605530248,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.05,0.4,0.2297564324611817,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,6,0.05,0.4,0.21496182965907037,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.35,0.20696971356243282,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.05,0.4,0.20259059739742472,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.03,0.3,0.200038229388433,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,5,0.05,0.3,0.18833007079279437,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.03,0.35,0.17998789775777507,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.05,0.3,0.17371740773379643,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.03,0.3,0.16860676049549425,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.03,0.3,0.16210781606099567,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.05,0.3,0.1615257585543335,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.05,0.4,0.16051000343298416,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,6,0.05,0.35,0.1567616540910318,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.03,0.3,0.1555440563271439,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.05,0.4,0.1515476380867699,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,5,0.05,0.3,0.14737619387545067,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.05,0.4,0.13944564524654324,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.05,0.4,0.13275473533506998,3,1,28,40,6,117,0.8235294117647058,0.7452229299363057,112.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.03,0.4,0.34566601999623014,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.03,0.4,0.3137550377688263,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.03,0.4,0.29336736005369324,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,400,5,0.03,0.4,0.28300336118949115,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,6,0.03,0.4,0.22847773948037137,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,5,0.03,0.35,0.21979437182170136,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,6,0.03,0.4,0.2106555095438563,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.03,0.4,0.19159792256224326,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.05,0.4,0.17456722247491624,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,5,0.05,0.4,0.16948852358467814,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.03,0.4,0.16783826063216659,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.03,0.4,0.15945491309717866,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,6,0.05,0.35,0.14494337940221383,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,6,0.03,0.3,0.14303149645118884,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,500,6,0.05,0.35,0.13878219671708414,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,5,0.05,0.35,0.09021032011857127,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,500,5,0.05,0.35,0.08524878077019576,3,1,28,41,6,116,0.8235294117647058,0.7388535031847133,113.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.03,0.4,0.27786030868807277,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,5,0.03,0.35,0.25766946991353795,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,6,0.03,0.4,0.2576565980708788,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,500,5,0.03,0.4,0.22203680441022516,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.3,0.1901376361434165,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,400,5,0.03,0.4,0.1859465921275245,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,5,0.05,0.4,0.17498591061378366,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,350,6,0.05,0.35,0.1688175079212025,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,350,5,0.03,0.3,0.1680129781818249,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,450,5,0.03,0.35,0.15707891757863612,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:7,0.0,0,,0,450,6,0.03,0.4,0.1490362990866597,3,1,28,42,6,115,0.8235294117647058,0.732484076433121,114.0,5.0,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.03,0.4,0.3001718774173287,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,5,0.03,0.35,0.2820718151630243,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,350,6,0.03,0.35,0.2813076296295104,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.03,0.35,0.2674170180341748,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.35,0.2424095412238392,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,5,0.03,0.35,0.2400289437716521,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,350,5,0.05,0.4,0.19522236139978244,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,450,6,0.03,0.3,0.18434737357292993,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:8,0.0,0,,0,400,5,0.05,0.4,0.17816897228749198,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,400,6,0.05,0.4,0.17608208941437448,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:10,0.0,0,,0,500,6,0.03,0.3,0.16978361059518507,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
catboost,1:9,0.0,0,,0,450,5,0.03,0.3,0.16855585439920684,3,1,28,43,6,114,0.8235294117647058,0.7261146496815286,115.0,5.142857142857143,0,False,False,True,False,coarse
