meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.43232330431540805,29,33,5,124,0.8529411764705882,0.7898089171974523,58.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.41218583782513935,29,33,5,124,0.8529411764705882,0.7898089171974523,58.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3723101740082105,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3506872256596883,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.35021911561489105,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.34265116105477017,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3391191090146701,29,34,5,123,0.8529411764705882,0.7834394904458599,59.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.42480625708897907,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.4215415120124817,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.41505300750335056,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.40144311636686325,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.4008082573612531,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3972543974717458,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.37693088750044507,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3668977692723274,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.35896339267492294,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3500184342265129,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3458293949564298,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3454336151480675,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.33549553404251736,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.32463352506359416,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.24880827901264033,29,35,5,122,0.8529411764705882,0.7770700636942676,60.0,4.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.26657743006944656,29,36,5,121,0.8529411764705882,0.7707006369426752,61.0,4.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.25876352190971375,29,36,5,121,0.8529411764705882,0.7707006369426752,61.0,4.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.25383904576301575,29,36,5,121,0.8529411764705882,0.7707006369426752,61.0,4.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.2398452845712503,29,36,5,121,0.8529411764705882,0.7707006369426752,61.0,4.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3120434246957302,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.29792333394289017,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.25419317185878754,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.252659372985363,29,37,5,120,0.8529411764705882,0.7643312101910829,62.0,4.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.39262507607539493,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3896217917402585,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.35335347056388855,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.33997614433368045,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.31594793125987053,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3006751872599125,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.29208024715383846,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.2652705864359935,29,38,5,119,0.8529411764705882,0.7579617834394905,63.0,4.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.334519412368536,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3310151882469654,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.31899453451236087,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3095153383910656,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.39180391530195874,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3887818232178688,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.3209694102406502,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.41252565880616504,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.41212520748376846,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.29227091123660404,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.266590749224027,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.41603756199280423,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,4.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.40865111102660495,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3623991956313451,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.2883486971259117,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.3586178223292033,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3382515187064807,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.304057573278745,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.28984758754571277,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,3,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.26650650178392726,29,43,5,114,0.8529411764705882,0.7261146496815286,68.0,5.142857142857143,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.343961201608181,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.33406488100687665,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.29762691880265874,29,44,5,113,0.8529411764705882,0.7197452229299363,69.0,5.285714285714286,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.317626740783453,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.31654657423496246,29,45,5,112,0.8529411764705882,0.7133757961783439,70.0,5.428571428571429,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.34173791358868283,29,46,5,111,0.8529411764705882,0.7070063694267515,71.0,5.571428571428571,0,False,False,True,False
catboost,1:8,0.0,0,,0,400,6,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.35,True,0.1363698478398678,30,47,4,110,0.8823529411764706,0.7006369426751592,67.0,5.714285714285714,0,False,False,True,False
